Sender,Total Burned (MOOJ),Rank
BNA657CVU266UWDUVQ4Y6UZCRR4XNHD64J2CRVNNOGLXF6R5SHF5GI75CI,3000.0,74
XN6EFQAT7HGDCYKJBKR7SQ7VPNRK2V6KLAEW7FVQ4PB5D356AC66RJKKE4,3000.0,75
JKGHOVTAOIWECOPGM3YIPPN43DFZ7HZ6CD27HSDAURK2ZXYYX5QBE6TA74,2828.21367962,76
RUMCDNALN7NONUJN76A5POB7YVHGW4CX2CSTIUMBKTW7K6TMSS3IYNRGQU,2706.70805669,77
SWPF2JKYMJQIG5UB3VMXJSS7L3DBRCRPCMJUJ3HWFTVBUZS5R6F7BZVCCA,2603.75719399,78
UFECSLPQ6TKRCZPMBRXZQSEPVBX64VMIP4JNFDIEIBETN3YDAPJF22MABU,2577.38016846,79
5BNHFW2GO44SKDVUWD3EBALNOO52C6RII3LPRPIRX5K6QFGHZ6AI7JAWJQ,2543.70787167,80
U2GR3BKI7FAMOWK3QXT36HMWDJH6YNBU2T7IAVKHHTU65C2FCCG732Y3UE,2502.40577684,81
KWV2TV6BQR3XNTLRQRN4AUXVSKFOE3QOCESP4EFE4YB4U4JHU6STKEOZCM,2459.54085869,82
Y2KY5GGUCLLSFSYY6OKDRGGKD7PP3XT2AAD4VJGRTAFBDP4UW5SSYAC3IM,2366.25512971,83
CT3G3H2UEEYWPB6MQB57T4A4TBKGGZHFZJZMRPKK7OY335QNWHBTIGQWSI,2346.18081971,84
TITSPUGK4I42UKTKINBBQ624FS45TEPHVUGIV4HQNRYPVW35H4MQXCY6YA,2279.4393124,85
CTOUG43DMP422KY3NM72YJFWQWNYNBRQM6YYIHFZRAND32HJB46KBMCKCA,2262.84147218,86
3G3SDZ27Y7QYW7QIKHGITXI2BQNHIPLZNGL32DDJEAGOO5ULXLQHKQ4THQ,2260.15741936,87
MDN4SGIIUPOUOA4ZRAZJCNTWET2KBMAMCVPBNKM4D6DZMWOTTI5CUGNF3A,2221.87160882,88
NZLY2HYKCWRIAL37FPWJC3S6YR66JQ4CTXWUFDE3ZLNZP3DGG255QTMYSY,2220.06215206,89
Z46KTIIDUTQIEMPCJLQCY6VZ7JC2KIIMJEL4IC4QOOXD2U35QYK3ROOFNA,2115.14870864,90
PZIF5XD3MZ5EHSW3UG6QVQJTIVPGRRICXHTVL44HMN7PJU4SJQ3ZVTRLVE,2067.32241267,91
YXCP2UGNNQR3AUB565GWRWZRDYL2G3CKO5JMFESAKJBPWVC4CO6VBNWZ24,2062.68904447,92
FCJ7OR5NB4RMQKBPGSYWTBVZGRUDJCWVPCNRQNDSJJAEZ675AIT56J4IAE,2051.2832672600002,93
DYHZEHLHFBS3HTDGQDU52D2YYDQS53SFHM75XUT5YJRGZWHMH6USPNLVXY,1985.7449298799997,94
2HYTI5GAB3WAJL5MZKQYUHZHYQJBEUD54OQNFZNBCPZXFPVDZOSCGUNORU,1939.76974631,95
446ANPVBHXLAW7JZT3GLVKDSCXXU7STEDNXU7FTEHXX2QM3NGXROR7BXUM,1869.82882913,96
H347XTSPJTQNTM6M6XONN4ZD4IYUB2FONGKOOR46MIB5CW3JNXASYISYUA,1842.08871608,97
C53OAJY2IDTJOFJBMSIBD3K4OSZZOBYF4DSFG7QS5NAOULUKGSKHTDBHMI,1836.61974048,98
